outer_target_domain,budget,selected_control_alpha,selected_exact_constant_offset,selected_inner_domain_equal_control_mae,minimum_baseline_distance_to_range_boundary,inner_domains,outer_target_labels_used_for_selection
MATR,0.01,0.02,0.01,0.07481746333882903,0.2363651016902873,11,False
MATR,0.015,0.02,0.015,0.07445592571992946,0.2363651016902873,11,False
MATR,0.02,0.03,0.02,0.07423061211279568,0.20285111012352874,11,False
MATR,0.03,0.05,0.027490967987328307,0.07419001101798428,0.1827756852226998,11,False
MICH,0.0,0.015,0.0,0.06925326958216221,0.27483739645794625,11,False
MICH,0.0025,0.015,0.0025,0.06890794057935828,0.27483739645794625,11,False
MICH,0.005,0.02,0.005,0.06858606294458144,0.27483739645794625,11,False
MICH,0.0075,0.02,0.0075,0.0682932819150111,0.27483739645794625,11,False
MICH,0.01,0.02,0.01,0.06807873853590518,0.27483739645794625,11,False
MICH,0.015,0.03,0.015,0.06773058546556192,0.27483739645794625,11,False
MICH,0.02,0.05,0.02,0.06760429663481557,0.27483739645794625,11,False
MICH,0.03,0.05,0.021517232826120836,0.06758841620102482,0.27483739645794625,11,False
MICH_EXP,0.0,0.01,0.0,0.07098501685935957,0.2911872559540112,11,False
MICH_EXP,0.0025,0.01,0.0025,0.07048166713791201,0.2911872559540112,11,False
MICH_EXP,0.005,0.01,0.005,0.0700675035698413,0.2911872559540112,11,False
MICH_EXP,0.0075,0.015,0.0075,0.06974615110688841,0.2911872559540112,11,False
MICH_EXP,0.01,0.015,0.01,0.06930483794163031,0.2911872559540112,11,False
MICH_EXP,0.015,0.015,0.015,0.06875321282766617,0.2911872559540112,11,False
MICH_EXP,0.02,0.02,0.02,0.06837985741772791,0.2911872559540112,11,False
MICH_EXP,0.03,0.03,0.027051857286161107,0.06818498351620496,0.2873000260987821,11,False
RWTH,0.0,0.01,0.0,0.07217687884070996,0.2781896840426812,11,False
RWTH,0.0025,0.01,0.0025,0.07175117175354595,0.2781896840426812,11,False
RWTH,0.005,0.015,0.005,0.07132826763500483,0.2648152887999923,11,False
RWTH,0.0075,0.015,0.0075,0.07088448883331169,0.2648152887999923,11,False
RWTH,0.01,0.015,0.01,0.07052399258613326,0.2648152887999923,11,False
RWTH,0.015,0.02,0.015,0.07000374103605574,0.25000918402562916,11,False
RWTH,0.02,0.03,0.02,0.06969563513049568,0.2220255892721425,11,False
RWTH,0.03,0.03,0.02517538820774945,0.06949005646003414,0.2220255892721425,11,False
SDU,0.0,0.01,0.0,0.08518943379486901,0.28162869703172033,11,False
SDU,0.0025,0.01,0.0025,0.08457079154267548,0.28162869703172033,11,False
SDU,0.005,0.01,0.005,0.0840262139765017,0.28162869703172033,11,False
SDU,0.0075,0.01,0.0075,0.08356095175505016,0.28162869703172033,11,False
SDU,0.01,0.01,0.01,0.08318083037555318,0.28162869703172033,11,False
SDU,0.015,0.015,0.015,0.08264305048796074,0.2454917348059955,11,False
SDU,0.02,0.015,0.02,0.08211295563636778,0.2454917348059955,11,False
SDU,0.03,0.03,0.03,0.08186374696620362,0.1844123656228645,11,False
SNL,0.0,0.01,0.0,0.07538059854607883,0.2748242176278992,11,False
SNL,0.0025,0.01,0.0025,0.07485773569714077,0.2748242176278992,11,False
SNL,0.005,0.01,0.005,0.07439493076920982,0.2748242176278992,11,False
SNL,0.0075,0.01,0.0075,0.07399091775549717,0.2748242176278992,11,False
SNL,0.01,0.015,0.01,0.07351834503374037,0.2633350002625108,11,False
SNL,0.015,0.015,0.015,0.07267863302110034,0.2633350002625108,11,False
