domain,budget,physical_cells,prediction_rows,selected_pchp_alpha,selected_control_alpha,selected_control_offset,baseline_cell_macro_mae,pchp_cell_macro_mae,control_cell_macro_mae,pchp_minus_baseline,pchp_minus_control,maximum_pchp_displacement,maximum_observed_pchp_loss_regret,maximum_cell_macro_pchp_harm,pchp_nonincreasing,baseline_nonincreasing,control_nonincreasing
SDU,0.0,86,48716,0.01,0.01,0.0,0.06792630956839542,0.06792630956839542,0.06792630956839542,0.0,0.0,0.0,0.0,0.0,True,True,True
SDU,0.0025,86,48716,0.01,0.01,0.0025,0.06792630956839542,0.06720214834489911,0.06641914317463292,-0.0007241612234963057,0.0007830051702661933,0.0024999999999999467,0.0024999999999999467,0.0024125411863384835,True,True,True
SDU,0.005,86,48716,0.01,0.01,0.005,0.06792630956839542,0.06653876244757781,0.0649338631865759,-0.0013875471208176088,0.0016048992610019075,0.0050000000000000044,0.0050000000000000044,0.004826518961519893,True,True,True
SDU,0.0075,86,48716,0.01,0.01,0.0075,0.06792630956839542,0.06590618702285793,0.06347450363975543,-0.0020201225455374894,0.002431683383102498,0.007499999999999951,0.007499999999999951,0.007226828102653633,True,True,True
SDU,0.01,86,48716,0.01,0.01,0.01,0.06792630956839542,0.06528704462743475,0.06204301885016164,-0.0026392649409606728,0.0032440257772731046,0.010000000000000009,0.010000000000000009,0.009641851548086645,True,True,True
SDU,0.015,86,48716,0.01,0.015,0.015,0.06792630956839542,0.06411138993430969,0.06496919371812314,-0.0038149196340857283,-0.0008578037838134489,0.015000000000000013,0.015000000000000013,0.014320177950777571,True,True,True
SDU,0.02,86,48716,0.01,0.015,0.02,0.06792630956839542,0.06309598464302899,0.06227932769662503,-0.004830324925366433,0.0008166569464039541,0.020000000000000018,0.020000000000000018,0.01868758428651595,True,True,True
SDU,0.03,86,48716,0.005,0.03,0.03,0.05461544447428186,0.05526596397345647,0.06321671433471157,0.0006505194991746066,-0.007950750361255102,0.030000000000000027,0.030000000000000027,0.027278740686079515,True,True,True
SNL,0.0,61,96092,0.01,0.01,0.0,0.07017262649956282,0.07017262649956282,0.07017262649956282,0.0,0.0,0.0,0.0,0.0,True,True,True
SNL,0.0025,61,96092,0.01,0.01,0.0025,0.07017262649956282,0.06924886458175494,0.0711942280333384,-0.0009237619178078804,-0.0019453634515834567,0.0025000000000000022,0.0024999999999999467,0.0022541999551869453,True,True,True
SNL,0.005,61,96092,0.01,0.01,0.005,0.07017262649956282,0.06834423335957623,0.07228086810134586,-0.0018283931399865894,-0.003936634741769626,0.0050000000000000044,0.0050000000000000044,0.004302251737297071,True,True,True
SNL,0.0075,61,96092,0.01,0.01,0.0075,0.07017262649956282,0.0674956696436222,0.07342213635771203,-0.002676956855940618,-0.00592646671408982,0.007500000000000007,0.007499999999999951,0.006061646202834725,True,True,True
SNL,0.01,61,96092,0.01,0.015,0.01,0.07017262649956282,0.06668762590174612,0.07085329683842723,-0.003485000597816701,-0.004165670936681104,0.010000000000000009,0.010000000000000009,0.007431621951371838,True,True,True
SNL,0.015,61,96092,0.01,0.015,0.015,0.07017262649956282,0.06511333180076097,0.07322678509582292,-0.0050592946988018556,-0.008113453295061954,0.015000000000000013,0.015000000000000013,0.01017614635004821,True,True,True
SNL,0.02,61,96092,0.01,0.02,0.02,0.07017262649956282,0.06362577664244207,0.07360917795767444,-0.006546849857120757,-0.00998340131523237,0.020000000000000018,0.020000000000000018,0.011573391131346776,True,True,True
SNL,0.03,61,96092,0.01,0.03,0.03,0.07017262649956282,0.061025697008932595,0.07663348972909688,-0.009146929490630229,-0.015607792720164285,0.030000000000000027,0.030000000000000027,0.01825602803544652,True,True,True
UL_PUR,0.0,10,2195,0.01,0.01,0.0,0.04032258602413584,0.04032258602413584,0.04032258602413584,0.0,0.0,0.0,0.0,0.0,True,True,True
UL_PUR,0.0025,10,2195,0.01,0.01,0.0025,0.04032258602413584,0.039342197191158945,0.041248403587968205,-0.0009803888329768945,-0.0019062063968092596,0.0024999999999999467,0.0024999999999999467,0.0018716559027270215,True,True,True
UL_PUR,0.005,10,2195,0.01,0.01,0.005,0.04032258602413584,0.03848831477711957,0.04239664008500271,-0.001834271247016267,-0.00390832530788314,0.0050000000000000044,0.0050000000000000044,0.003689091607302856,True,True,True
UL_PUR,0.0075,10,2195,0.01,0.01,0.0075,0.04032258602413584,0.03775643312366761,0.04381221626330432,-0.00256615290046823,-0.006055783139636707,0.007499999999999951,0.007499999999999951,0.00553393400450429,True,True,True
UL_PUR,0.01,10,2195,0.01,0.01,0.01,0.04032258602413584,0.03715022080825636,0.04548190303923129,-0.0031723652158794774,-0.008331682230974927,0.010000000000000009,0.010000000000000009,0.0073693076728441505,True,True,True
UL_PUR,0.015,10,2195,0.01,0.01,0.015,0.04032258602413584,0.03626788045117789,0.04970426339939851,-0.004054705572957951,-0.013436382948220624,0.015000000000000013,0.015000000000000013,0.010916374991209205,True,True,True
UL_PUR,0.02,10,2195,0.01,0.015,0.02,0.04032258602413584,0.03569593918391153,0.0498477756334719,-0.004626646840224312,-0.014151836449560369,0.020000000000000018,0.020000000000000018,0.01418709414310421,True,True,True
UL_PUR,0.03,10,2195,0.01,0.015,0.024062985352771515,0.04032258602413584,0.03546808572547473,0.05391076098624341,-0.0048545002986611074,-0.018442675260768676,0.030000000000000027,0.030000000000000027,0.020239501631281746,True,True,True
XJTU,0.0,23,6823,0.01,0.01,0.0,0.12568214003299147,0.12568214003299147,0.12568214003299147,0.0,0.0,0.0,0.0,0.0,True,True,True
XJTU,0.0025,23,6823,0.01,0.015,0.0025,0.12568214003299147,0.12330617197427675,0.13291624443158467,-0.0023759680587147197,-0.009610072457307925,0.0024999999999999467,0.0024999999999999467,-0.0018871644790986741,True,True,True
XJTU,0.005,23,6823,0.01,0.015,0.005,0.12568214003299147,0.120935660707882,0.13041624443158462,-0.004746479325109465,-0.009480583723702612,0.0050000000000000044,0.0050000000000000044,-0.0038082330049243884,True,True,True
XJTU,0.0075,23,6823,0.01,0.015,0.0075,0.12568214003299147,0.11856966461069601,0.12791790912172102,-0.007112475422295456,-0.009348244511025006,0.007499999999999951,0.007499999999999951,-0.0057537227709204,True,True,True
XJTU,0.01,23,6823,0.01,0.015,0.01,0.12568214003299147,0.11621316419014152,0.12541964825215576,-0.009468975842849947,-0.009206484062014242,0.010000000000000009,0.010000000000000009,-0.007722007454228796,True,True,True
XJTU,0.015,23,6823,0.01,0.02,0.015,0.12568214003299147,0.11152851027740632,0.1266138209597181,-0.014153629755585151,-0.015085310682311781,0.015000000000000013,0.015000000000000013,-0.011635333579011545,True,True,True
