domain,cell_id,pchp_cell_mae,control_cell_mae,prediction_rows,pchp_minus_control
MATR,MATR/MATR_b2c20,0.03450630526777791,0.03220748211184056,525,0.0022988231559373518
MATR,MATR/MATR_b2c21,0.02808390750409568,0.025215240192027838,514,0.002868667312067842
MATR,MATR/MATR_b2c22,0.034316105173755995,0.030036334507829523,534,0.004279770665926472
MATR,MATR/MATR_b2c23,0.031580529156613385,0.025292908062690345,556,0.00628762109392304
MATR,MATR/MATR_b2c24,0.033024576289711276,0.02621183526981736,518,0.006812741019893917
MATR,MATR/MATR_b2c25,0.02436331091541155,0.02038963021111276,481,0.00397368070429879
MATR,MATR/MATR_b2c26,0.027091277501704626,0.023764342292937026,492,0.0033269352087676
MATR,MATR/MATR_b2c27,0.033225691715229745,0.028810411550399012,489,0.004415280164830733
MATR,MATR/MATR_b2c28,0.03787120472758889,0.02920911429545717,535,0.00866209043213172
MATR,MATR/MATR_b2c29,0.04057303042091753,0.03499213695848678,516,0.00558089346243075
MATR,MATR/MATR_b2c3,0.030282173143998187,0.03587140872546206,355,-0.0055892355814638715
MATR,MATR/MATR_b2c30,0.03463181367753151,0.02960111008412397,501,0.005030703593407536
MATR,MATR/MATR_b2c31,0.03670757443445562,0.03327164792184845,513,0.003435926512607164
MATR,MATR/MATR_b2c32,0.03924006944467208,0.03392848659356665,538,0.005311582851105431
MATR,MATR/MATR_b2c33,0.04141358618196879,0.03750097566117861,540,0.003912610520790179
MATR,MATR/MATR_b2c34,0.04229075324309165,0.03819250191175867,520,0.004098251331332979
MATR,MATR/MATR_b2c35,0.03736272308087869,0.03408846380942638,480,0.0032742592714523136
MATR,MATR/MATR_b2c36,0.040150177237492146,0.035418063143219526,554,0.00473211409427262
MATR,MATR/MATR_b2c37,0.0424054686414035,0.03666151016069549,496,0.0057439584807080085
MATR,MATR/MATR_b2c38,0.03918615734823115,0.034012552440781704,481,0.005173604907449447
MATR,MATR/MATR_b2c39,0.043053981647670964,0.03864388093881278,474,0.004410100708858181
MATR,MATR/MATR_b2c4,0.025604160333641705,0.02514575922894541,465,0.00045840110469629394
MATR,MATR/MATR_b2c40,0.029998106316826256,0.026320461369111876,524,0.00367764494771438
MATR,MATR/MATR_b2c41,0.036127771496761905,0.029825392402343803,446,0.006302379094418102
MATR,MATR/MATR_b2c42,0.03515868461230907,0.028837884035843468,486,0.006320800576465599
MATR,MATR/MATR_b2c43,0.03631114625966191,0.029508734984471447,481,0.006802411275190465
MATR,MATR/MATR_b2c44,0.03927198669418309,0.030675880498639604,472,0.008596106195543483
MATR,MATR/MATR_b2c45,0.03402083602654143,0.030734869899475475,508,0.003285966127065953
MATR,MATR/MATR_b2c46,0.03921090772868474,0.029567584129019525,443,0.009643323599665216
MATR,MATR/MATR_b2c47,0.03846128903403208,0.027056443258572427,739,0.011404845775459652
MATR,MATR/MATR_b2c5,0.03479638229831793,0.031122850466722588,501,0.0036735318315953384
MATR,MATR/MATR_b2c6,0.019911834287609047,0.024964541025098107,539,-0.00505270673748906
MATR,MATR/MATR_b3c0,0.03787403854657453,0.023897641350639192,1002,0.013976397195935335
MATR,MATR/MATR_b3c1,0.048043501055310446,0.03344404146038485,1056,0.014599459594925597
MATR,MATR/MATR_b3c10,0.0323063682779979,0.029819694735987102,1071,0.0024866735420107956
MATR,MATR/MATR_b3c11,0.03254923100175751,0.02010340883563144,810,0.01244582216612607
MATR,MATR/MATR_b3c12,0.04422741443402182,0.030902199241918473,925,0.013325215192103345
MATR,MATR/MATR_b3c13,0.032397205540460286,0.020341045949931746,809,0.01205615959052854
MATR,MATR/MATR_b3c14,0.04112157972967337,0.02758147920035898,851,0.01354010052931439
MATR,MATR/MATR_b3c15,0.036268421899763,0.024488954854226416,869,0.011779467045536587
MATR,MATR/MATR_b3c16,0.037099564870413174,0.037790664401399075,1631,-0.0006910995309859017
MATR,MATR/MATR_b3c17,0.050596746538543826,0.035826184174065745,1308,0.01477056236447808
MATR,MATR/MATR_b3c18,0.04020762028781762,0.028041669972379186,1139,0.012165950315438438
MATR,MATR/MATR_b3c19,0.04284052640669051,0.031382500439902254,1148,0.011458025966788257
MATR,MATR/MATR_b3c20,0.033100145692723466,0.019939201908587438,806,0.013160943784136028
MATR,MATR/MATR_b3c21,0.024846558229385737,0.013297126313472935,765,0.011549431915912803
MATR,MATR/MATR_b3c22,0.07064832913658961,0.05742825382369212,995,0.01322007531289749
MATR,MATR/MATR_b3c24,0.03299909697807971,0.01881198835456824,818,0.014187108623511472
MATR,MATR/MATR_b3c25,0.045183232817813716,0.034768207368266135,982,0.010415025449547581
MATR,MATR/MATR_b3c26,0.03984772396910369,0.029760563706224288,1021,0.0100871602628794
MATR,MATR/MATR_b3c27,0.04023512411979588,0.027332352949114243,843,0.012902771170681636
