outer_target_domain,inner_validation_domain,alpha,physical_cells,validation_rows,causal_candidate_cell_macro_mae
CALCE,HUST,0.5,77,145735,0.029718514851124121
CALCE,HUST,0.20000000000000001,77,145735,0.030084177264846381
CALCE,HUST,0.10000000000000001,77,145735,0.030504171409434934
CALCE,HUST,0.050000000000000003,77,145735,0.031203131462811933
CALCE,HUST,0.029999999999999999,77,145735,0.032067629372564542
CALCE,HUST,0.02,77,145735,0.033134094841554614
CALCE,HUST,0.014999999999999999,77,145735,0.034193716939310774
CALCE,HUST,0.01,77,145735,0.036297734072566513
CALCE,HUST,0.0050000000000000001,77,145735,0.042215610220918375
CALCE,MATR,1,169,139148,0.058206260814441413
CALCE,MATR,0.5,169,139148,0.051640783176327636
CALCE,MATR,0.20000000000000001,169,139148,0.046223973044019963
CALCE,MATR,0.10000000000000001,169,139148,0.042836681361854992
CALCE,MATR,0.050000000000000003,169,139148,0.038651718123998161
CALCE,MATR,0.029999999999999999,169,139148,0.034768338912224417
CALCE,MATR,0.02,169,139148,0.031348964083474644
CALCE,MATR,0.014999999999999999,169,139148,0.028887107850759541
CALCE,MATR,0.01,169,139148,0.025762439773858913
CALCE,MATR,0.0050000000000000001,169,139148,0.022591706204220692
CALCE,MICH,1,40,19681,0.045720654478173105
CALCE,MICH,0.5,40,19681,0.047004323354839075
CALCE,MICH,0.20000000000000001,40,19681,0.05023973226371261
CALCE,MICH,0.10000000000000001,40,19681,0.055003994816238432
CALCE,MICH,0.050000000000000003,40,19681,0.063323882944204296
CALCE,MICH,0.029999999999999999,40,19681,0.07266385945792149
CALCE,MICH,0.02,40,19681,0.082267618973142345
CALCE,MICH,0.014999999999999999,40,19681,0.090122840264427601
CALCE,MICH,0.01,40,19681,0.10204924459834368
CALCE,MICH,0.0050000000000000001,40,19681,0.12193795282953106
CALCE,MICH_EXP,1,18,6455,0.1717822000853427
CALCE,MICH_EXP,0.5,18,6455,0.10142115132117012
CALCE,MICH_EXP,0.20000000000000001,18,6455,0.058594847417053959
CALCE,MICH_EXP,0.10000000000000001,18,6455,0.04947179369957147
CALCE,MICH_EXP,0.050000000000000003,18,6455,0.049141597585879437
CALCE,MICH_EXP,0.029999999999999999,18,6455,0.050928097318731026
CALCE,MICH_EXP,0.02,18,6455,0.053450249341182803
CALCE,MICH_EXP,0.014999999999999999,18,6455,0.055645352402475284
CALCE,MICH_EXP,0.01,18,6455,0.059480208386937364
CALCE,MICH_EXP,0.0050000000000000001,18,6455,0.070590360995264181
CALCE,RWTH,1,48,105140,0.17762243964550437
CALCE,RWTH,0.5,48,105140,0.17804786733528555
CALCE,RWTH,0.20000000000000001,48,105140,0.17870531242620336
CALCE,RWTH,0.10000000000000001,48,105140,0.17943875885664898
CALCE,RWTH,0.050000000000000003,48,105140,0.18059972186675977
CALCE,RWTH,0.029999999999999999,48,105140,0.18197449258833628
CALCE,RWTH,0.02,48,105140,0.18369017305203461
CALCE,RWTH,0.014999999999999999,48,105140,0.18549391276340621
CALCE,RWTH,0.01,48,105140,0.18923327147883048
CALCE,RWTH,0.0050000000000000001,48,105140,0.20122271839590078
CALCE,SDU,1,86,48716,0.059497620958831793
CALCE,SDU,0.5,86,48716,0.056163862861639664
CALCE,SDU,0.20000000000000001,86,48716,0.050177988303322402
CALCE,SDU,0.10000000000000001,86,48716,0.044862058128034614
CALCE,SDU,0.050000000000000003,86,48716,0.044053328530200067
CALCE,SDU,0.029999999999999999,86,48716,0.046040595032147073
CALCE,SDU,0.02,86,48716,0.047344839810476762
CALCE,SDU,0.014999999999999999,86,48716,0.047532848037823011
CALCE,SDU,0.01,86,48716,0.046996370144621651
CALCE,SDU,0.0050000000000000001,86,48716,0.048664850620392497
CALCE,SNL,1,61,96092,0.058571375312358821
CALCE,SNL,0.5,61,96092,0.054357469239233694
CALCE,SNL,0.20000000000000001,61,96092,0.051954795391754585
CALCE,SNL,0.10000000000000001,61,96092,0.05328943449158783
CALCE,SNL,0.050000000000000003,61,96092,0.055368871535892976
CALCE,SNL,0.029999999999999999,61,96092,0.057575409280820417
CALCE,SNL,0.02,61,96092,0.060073903967971312
CALCE,SNL,0.014999999999999999,61,96092,0.062394779610215105
CALCE,SNL,0.01,61,96092,0.066568129298181025
CALCE,SNL,0.0050000000000000001,61,96092,0.077092111596514371
CALCE,UL_PUR,1,10,2195,0.064915204382574435
CALCE,UL_PUR,0.5,10,2195,0.062323359617350159
CALCE,UL_PUR,0.20000000000000001,10,2195,0.058009472486335215
CALCE,UL_PUR,0.10000000000000001,10,2195,0.052693443142858822
CALCE,UL_PUR,0.050000000000000003,10,2195,0.044508250629178563
CALCE,UL_PUR,0.029999999999999999,10,2195,0.036263158381428851
CALCE,UL_PUR,0.02,10,2195,0.028752433460137904
CALCE,UL_PUR,0.014999999999999999,10,2195,0.023900920860761128
CALCE,UL_PUR,0.01,10,2195,0.020510488866472262
CALCE,UL_PUR,0.0050000000000000001,10,2195,0.028350537335512144
CALCE,XJTU,1,23,6823,0.06992982664793497
CALCE,XJTU,0.5,23,6823,0.068721953943899072
CALCE,XJTU,0.20000000000000001,23,6823,0.06623621688250482
CALCE,XJTU,0.10000000000000001,23,6823,0.063166319207533281
CALCE,XJTU,0.050000000000000003,23,6823,0.058261715390547419
CALCE,XJTU,0.029999999999999999,23,6823,0.053055524259074935
CALCE,XJTU,0.02,23,6823,0.04825519829496798
CALCE,XJTU,0.014999999999999999,23,6823,0.044772357953424005
CALCE,XJTU,0.01,23,6823,0.040995762118238681
CALCE,XJTU,0.0050000000000000001,23,6823,0.039542480129102171
HNEI,CALB,1,27,2629,0.016882653468589286
HNEI,CALB,0.5,27,2629,0.016586909062251978
HNEI,CALB,0.20000000000000001,27,2629,0.016352089160054793
HNEI,CALB,0.10000000000000001,27,2629,0.016108900803612745
HNEI,CALB,0.050000000000000003,27,2629,0.015688081487632708
HNEI,CALB,0.029999999999999999,27,2629,0.015264569592737188
HNEI,CALB,0.02,27,2629,0.01491252814778087
HNEI,CALB,0.014999999999999999,27,2629,0.014680074569375257
HNEI,CALB,0.01,27,2629,0.014398109982620453
HNEI,CALB,0.0050000000000000001,27,2629,0.014117868274282035
HNEI,CALCE,1,13,14233,0.38327206561642002
HNEI,CALCE,0.5,13,14233,0.24867934211452572
HNEI,CALCE,0.20000000000000001,13,14233,0.1146943591660754
HNEI,CALCE,0.10000000000000001,13,14233,0.066328612830102884
HNEI,CALCE,0.050000000000000003,13,14233,0.054917216357964989
HNEI,CALCE,0.029999999999999999,13,14233,0.060836846250080581
HNEI,CALCE,0.02,13,14233,0.068159119460257947
HNEI,CALCE,0.014999999999999999,13,14233,0.074348769810658535
HNEI,CALCE,0.01,13,14233,0.084517278349099265
HNEI,CALCE,0.0050000000000000001,13,14233,0.10705197991553694
HNEI,HUST,1,77,145735,0.029750761396022372
HNEI,HUST,0.5,77,145735,0.029987758784311296
HNEI,HUST,0.20000000000000001,77,145735,0.030398783571464919
HNEI,HUST,0.10000000000000001,77,145735,0.030874587564823176
HNEI,HUST,0.050000000000000003,77,145735,0.031661115813953054
HNEI,HUST,0.029999999999999999,77,145735,0.03262311648088604
HNEI,HUST,0.02,77,145735,0.033774543481752579
HNEI,HUST,0.014999999999999999,77,145735,0.034897070834722106
HNEI,HUST,0.01,77,145735,0.037069384572495145
HNEI,HUST,0.0050000000000000001,77,145735,0.043011895826137
HNEI,MATR,1,169,139148,0.070044743352201622
HNEI,MATR,0.5,169,139148,0.061389796240450413
HNEI,MATR,0.20000000000000001,169,139148,0.053681433128747007
HNEI,MATR,0.10000000000000001,169,139148,0.049140715938470629
HNEI,MATR,0.050000000000000003,169,139148,0.043678345335112424
HNEI,MATR,0.029999999999999999,169,139148,0.038504202595984395
HNEI,MATR,0.02,169,139148,0.033785595441904147
HNEI,MATR,0.014999999999999999,169,139148,0.030380537323356955
HNEI,MATR,0.01,169,139148,0.026043016831971508
HNEI,MATR,0.0050000000000000001,169,139148,0.021803614563164452
HNEI,MICH,1,40,19681,0.033563064378852668
HNEI,MICH,0.5,40,19681,0.034946012809780075
HNEI,MICH,0.20000000000000001,40,19681,0.03865373769682548
HNEI,MICH,0.10000000000000001,40,19681,0.044177864824863605
HNEI,MICH,0.050000000000000003,40,19681,0.053618808614306138
HNEI,MICH,0.029999999999999999,40,19681,0.06397016369673908
HNEI,MICH,0.02,40,19681,0.074418366180807508
