domain,cell_id,records,comparator_alpha,baseline_mae,pchp_mae,source_tuned_causal_candidate_mae,pchp_max_displacement,source_tuned_candidate_max_displacement,pchp_violation_records,source_tuned_candidate_violation_records,pchp_minus_baseline,source_tuned_candidate_minus_baseline,pchp_minus_source_tuned_candidate,pchp_violates,source_tuned_candidate_violates
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_p,1074,0.050000000000000003,0.025847662365331196,0.017449436138717044,0.031188838115356898,0.010000000000000009,0.14166947016711928,0,1055,-0.0083982262266141527,0.0053411757500257014,-0.013739401976639854,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_s,1082,0.050000000000000003,0.059128063273159892,0.049577320677684701,0.017373814027386199,0.010000000000000009,0.10479076682294108,0,1061,-0.0095507425954751909,-0.041754249245773693,0.032203506650298502,False,True
HNEI,HNEI/HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_t,1078,0.050000000000000003,0.057775405043122119,0.048786355497881212,0.019159168189994049,0.010000000000000009,0.11829586565868722,0,1054,-0.0089890495452409069,-0.038616236853128066,0.029627187307887163,False,True
HUST,HUST/HUST_1-1,1499,0.050000000000000003,0.02464603074336762,0.019474125475966043,0.015813234556018563,0.010000000000000009,0.043734105776510934,0,857,-0.0051719052674015775,-0.0088327961873490568,0.0036608909199474793,False,True
HUST,HUST/HUST_1-2,2673,0.050000000000000003,0.032802038131039914,0.029370141617554458,0.036185715224613633,0.010000000000000009,0.029608709607182648,0,2253,-0.0034318965134854558,0.0033836770935737198,-0.0068155736070591756,False,True
HUST,HUST/HUST_1-3,1853,0.050000000000000003,0.040640686090067921,0.03701967732233645,0.041959740847020068,0.010000000000000009,0.061249355434591424,0,1853,-0.0036210087677314706,0.0013190547569521469,-0.0049400635246836175,False,True
HUST,HUST/HUST_1-4,1495,0.050000000000000003,0.038608780152884048,0.035208091455282108,0.047516514292710824,0.010000000000000009,0.060765865821711729,0,1495,-0.0034006886976019404,0.0089077341398267756,-0.012308422837428716,False,True
HUST,HUST/HUST_1-5,1966,0.050000000000000003,0.040988730097984871,0.037830461228134118,0.04881214110269131,0.010000000000000009,0.082904579201797723,0,1966,-0.0031582688698507527,0.007823411004706439,-0.010981679874557192,False,True
HUST,HUST/HUST_1-6,1138,0.050000000000000003,0.04019068114816407,0.042101347557762923,0.043425596476782041,0.010000000000000009,0.03716613225387988,0,687,0.0019106664095988532,0.003234915328617971,-0.0013242489190191178,False,True
HUST,HUST/HUST_1-7,1673,0.050000000000000003,0.027077110871988018,0.020680559428905596,0.018718878756685174,0.010000000000000009,0.036205245730443703,0,1103,-0.0063965514430824218,-0.0083582321153028438,0.0019616806722204221,False,True
