domain,cell_id,records,cell_mae,cell_rmse,method
MATR,MATR/MATR_b2c6,539,0.02197008893020902,0.03278729979866485,selected_causal_baseline
MATR,MATR/MATR_b3c0,1002,0.02945844495425629,0.03302250594610822,selected_causal_baseline
MATR,MATR/MATR_b3c1,1056,0.040009418910732175,0.04326381491834031,selected_causal_baseline
MATR,MATR/MATR_b3c10,1071,0.03523202595332682,0.03981223941187562,selected_causal_baseline
MATR,MATR/MATR_b3c11,810,0.02527744889135735,0.028200124443676734,selected_causal_baseline
MATR,MATR/MATR_b3c12,925,0.037232340134012075,0.04066779322418282,selected_causal_baseline
MATR,MATR/MATR_b3c13,809,0.02619847141075847,0.028048896653575475,selected_causal_baseline
MATR,MATR/MATR_b3c14,851,0.03393914945783065,0.03676395590215224,selected_causal_baseline
MATR,MATR/MATR_b3c15,869,0.030757916595253634,0.03348799627692189,selected_causal_baseline
MATR,MATR/MATR_b3c16,1631,0.043940970658263585,0.04925070310867973,selected_causal_baseline
MATR,MATR/MATR_b3c17,1308,0.042398319649581774,0.046574684635608515,selected_causal_baseline
MATR,MATR/MATR_b3c18,1139,0.03423169728085414,0.03687601700707743,selected_causal_baseline
MATR,MATR/MATR_b3c19,1148,0.03776999614753372,0.041523579948448186,selected_causal_baseline
MATR,MATR/MATR_b3c20,806,0.02508541687308308,0.02859217743269536,selected_causal_baseline
MATR,MATR/MATR_b3c21,765,0.018165589077420406,0.020073638393941308,selected_causal_baseline
MATR,MATR/MATR_b3c22,995,0.06508337702045161,0.06901893042866111,selected_causal_baseline
MATR,MATR/MATR_b3c24,818,0.02456503147666676,0.02719357478535425,selected_causal_baseline
MATR,MATR/MATR_b3c25,982,0.04162818243219485,0.04482548560473189,selected_causal_baseline
MATR,MATR/MATR_b3c26,1021,0.035412794152149235,0.039007980507912286,selected_causal_baseline
MATR,MATR/MATR_b3c27,843,0.03374286777890438,0.03604741806256117,selected_causal_baseline
MATR,MATR/MATR_b3c28,534,0.014861919714946305,0.02114291521540793,selected_causal_baseline
MATR,MATR/MATR_b3c29,851,0.030763792416447867,0.03347532826387673,selected_causal_baseline
MATR,MATR/MATR_b3c3,1108,0.04094024449790881,0.04474859213839576,selected_causal_baseline
MATR,MATR/MATR_b3c30,928,0.03783680804791751,0.041757943576756974,selected_causal_baseline
MATR,MATR/MATR_b3c31,724,0.049609306056042614,0.05274630522564664,selected_causal_baseline
MATR,MATR/MATR_b3c33,1277,0.035365213299770805,0.03950146074646668,selected_causal_baseline
MATR,MATR/MATR_b3c34,1151,0.0388809084344843,0.042247921255968254,selected_causal_baseline
MATR,MATR/MATR_b3c35,1086,0.03164890859323935,0.03503590414121047,selected_causal_baseline
MATR,MATR/MATR_b3c36,916,0.0356492704105949,0.0379847210316924,selected_causal_baseline
MATR,MATR/MATR_b3c38,1928,0.045126752572132695,0.04999397289494907,selected_causal_baseline
MATR,MATR/MATR_b3c39,1149,0.0449373726986098,0.047887604315833956,selected_causal_baseline
MATR,MATR/MATR_b3c4,1041,0.033213342871038325,0.03672998337257021,selected_causal_baseline
MATR,MATR/MATR_b3c40,789,0.0259996951316473,0.028139170979255793,selected_causal_baseline
MATR,MATR/MATR_b3c41,779,0.03531122085681446,0.037864730323331354,selected_causal_baseline
MATR,MATR/MATR_b3c44,933,0.04162392057509021,0.044812139658546406,selected_causal_baseline
MATR,MATR/MATR_b3c45,1794,0.047180385875329155,0.052632588812156496,selected_causal_baseline
MATR,MATR/MATR_b3c5,821,0.03244711647508606,0.03423406938744268,selected_causal_baseline
MATR,MATR/MATR_b3c6,660,0.01464265607504452,0.02046889583110615,selected_causal_baseline
MATR,MATR/MATR_b3c7,1829,0.049529046790074735,0.05533201831752419,selected_causal_baseline
MATR,MATR/MATR_b3c8,821,0.025577996755151093,0.028072949461294527,selected_causal_baseline
MATR,MATR/MATR_b3c9,1032,0.04565773507362997,0.04905611249616776,selected_causal_baseline
MATR,MATR/MATR_b4c0,977,0.04607759903620294,0.0640891492609369,selected_causal_baseline
