domain,cell_id,cell_mae,method
MATR,MATR/MATR_b2c26,0.026357314390814478,pointwise_tube
MATR,MATR/MATR_b2c27,0.03241192414555971,pointwise_tube
MATR,MATR/MATR_b2c28,0.035078927946858705,pointwise_tube
MATR,MATR/MATR_b2c29,0.04001964967492943,pointwise_tube
MATR,MATR/MATR_b2c3,0.029216888023168793,pointwise_tube
MATR,MATR/MATR_b2c30,0.03335997208269693,pointwise_tube
MATR,MATR/MATR_b2c31,0.034546454442906625,pointwise_tube
MATR,MATR/MATR_b2c32,0.03734152501165925,pointwise_tube
MATR,MATR/MATR_b2c33,0.04077817166353261,pointwise_tube
MATR,MATR/MATR_b2c34,0.03965260136690015,pointwise_tube
MATR,MATR/MATR_b2c35,0.036312591621862046,pointwise_tube
MATR,MATR/MATR_b2c36,0.03980735568201709,pointwise_tube
MATR,MATR/MATR_b2c37,0.04221010802953463,pointwise_tube
MATR,MATR/MATR_b2c38,0.03872844756934137,pointwise_tube
MATR,MATR/MATR_b2c39,0.042255303358730095,pointwise_tube
MATR,MATR/MATR_b2c4,0.02550632329553079,pointwise_tube
MATR,MATR/MATR_b2c40,0.02800966601906176,pointwise_tube
MATR,MATR/MATR_b2c41,0.033425058437073524,pointwise_tube
MATR,MATR/MATR_b2c42,0.03425958353922509,pointwise_tube
MATR,MATR/MATR_b2c43,0.03558209978362186,pointwise_tube
MATR,MATR/MATR_b2c44,0.03806793758638066,pointwise_tube
MATR,MATR/MATR_b2c45,0.033438289409245786,pointwise_tube
MATR,MATR/MATR_b2c46,0.03714146304350481,pointwise_tube
MATR,MATR/MATR_b2c47,0.03317181963196435,pointwise_tube
MATR,MATR/MATR_b2c5,0.034518108531831126,pointwise_tube
MATR,MATR/MATR_b2c6,0.01952691262486095,pointwise_tube
MATR,MATR/MATR_b3c0,0.02926710823744692,pointwise_tube
MATR,MATR/MATR_b3c1,0.03631162446377389,pointwise_tube
MATR,MATR/MATR_b3c10,0.027670882476569313,pointwise_tube
MATR,MATR/MATR_b3c11,0.025669991150725876,pointwise_tube
MATR,MATR/MATR_b3c12,0.03444601512624389,pointwise_tube
MATR,MATR/MATR_b3c13,0.023783294230671083,pointwise_tube
MATR,MATR/MATR_b3c14,0.0316612889590498,pointwise_tube
MATR,MATR/MATR_b3c15,0.027318384951260776,pointwise_tube
MATR,MATR/MATR_b3c16,0.03599201186229558,pointwise_tube
MATR,MATR/MATR_b3c17,0.03799348471324337,pointwise_tube
MATR,MATR/MATR_b3c18,0.02921527809527336,pointwise_tube
MATR,MATR/MATR_b3c19,0.03058838939700467,pointwise_tube
MATR,MATR/MATR_b3c20,0.027609098757790454,pointwise_tube
MATR,MATR/MATR_b3c21,0.02008099682798805,pointwise_tube
MATR,MATR/MATR_b3c22,0.05782494954033946,pointwise_tube
MATR,MATR/MATR_b3c24,0.0256974211413731,pointwise_tube
