domain,method,physical_cells,cell_macro_mae,cell_macro_rmse,worst_cell_mae,mean_trajectory_increase_fraction,maximum_predicted_increase
MICH,change_domain_equal,40,0.04537108670341285,0.06831836405498655,0.1905782052064933,0.3284991769981043,0.0927498144285176
MICH,change_pooled,40,0.041961160343742324,0.05993290420518014,0.17656524693555983,0.3267408034326369,0.11720037304833475
MICH,raw_domain_equal,40,0.09714576063781348,0.13336643086561967,0.26100076485849,0.3346932760196896,0.0946601568543346
MICH,raw_pooled,40,0.09180365330202171,0.12742716520868833,0.23511366130560168,0.331446063349018,0.08874264422823974
MICH_EXP,change_domain_equal,18,0.050596795348048715,0.05876873737084758,0.08746946752429957,0.22916887512595396,0.6780223560611722
MICH_EXP,change_pooled,18,0.05096326485212515,0.06167038650297645,0.10309849292210616,0.22982201688315274,0.7742858934013115
MICH_EXP,raw_domain_equal,18,0.1034977776819335,0.11385215248409541,0.16177339751673597,0.22771915791737551,0.5574909709728012
MICH_EXP,raw_pooled,18,0.09903698244790868,0.10935841607699762,0.1538016305232899,0.23179651458776357,0.7144924880849134
RWTH,change_domain_equal,48,0.17510931700132615,0.24407495267972001,0.21772299578542814,0.35105879475036444,0.03603351124764398
RWTH,change_pooled,48,0.16394659292371008,0.22981875957934642,0.20424660768252126,0.34241783652535746,0.03383200332463443
RWTH,raw_domain_equal,48,0.15780051143400745,0.1875926959960121,0.19344716374323004,0.3178099809266899,0.042668418790867135
RWTH,raw_pooled,48,0.15258365646475402,0.1913473961461973,0.1898191869133425,0.39946844877348137,0.04232069797633231
SDU,change_domain_equal,86,0.05183302162866128,0.05905308180644698,0.08923639423790859,0.25909897188682723,0.2179642532337207
SDU,change_pooled,86,0.05581189774360171,0.06323768658077746,0.09155586273064617,0.25990198805714254,0.26776551934232384
SDU,raw_domain_equal,86,0.08217224156975164,0.08989029066792978,0.13741416250147112,0.30295684724549654,0.16724906293240005
SDU,raw_pooled,86,0.08765440892187903,0.0950662200139709,0.16430576646981632,0.3077581119943819,0.15913301607998454
SNL,change_domain_equal,61,0.053617088515311676,0.059315420084767194,0.14355752386238,0.292304675535226,0.23424827047033847
SNL,change_pooled,61,0.05199808957389128,0.058214998233599206,0.1558352024522015,0.30315667617287684,0.28428989639019775
SNL,raw_domain_equal,61,0.06366076257536599,0.07207351686565186,0.18974146432848035,0.2760032691010039,0.17281286521884498
SNL,raw_pooled,61,0.06200477014906417,0.07043494775819009,0.18982916437434663,0.28232319323825594,0.19172719143726275
UL_PUR,change_domain_equal,10,0.060148063901586765,0.0662012668927303,0.0734061799953676,0.31487511295839277,0.025812985486617146
UL_PUR,change_pooled,10,0.05951006433949861,0.06557488052140546,0.07387888340134206,0.3113733146840555,0.02789508513147909
UL_PUR,raw_domain_equal,10,0.03324097656408505,0.044184900921681945,0.056249913770342864,0.3288226327202072,0.020842012418390565
UL_PUR,raw_pooled,10,0.03493841108859903,0.04396022764869327,0.0560729354195943,0.34682564845557945,0.0203275337979556
XJTU,change_domain_equal,23,0.06993669093589225,0.07250709455933228,0.08790702850607925,0.28926210332932595,0.013121936827777736
XJTU,change_pooled,23,0.07188996019756497,0.07495332539117916,0.09671012729962684,0.27926833895037667,0.01564414540574588
XJTU,raw_domain_equal,23,0.17972115337228942,0.18487266598253635,0.19735859873412737,0.28770774768593693,0.015927188306753437
XJTU,raw_pooled,23,0.16263429452542227,0.16759191753612446,0.18165758207690955,0.27508813970437035,0.015802399262661693
