domain,cell_id,method,rows,mae,rmse,trajectory_increase_fraction,maximum_predicted_increase
HUST,HUST/HUST_7-8,raw_pooled,1933,0.03696613775026803,0.04389886721705741,0.2463768115942029,0.012692945971055969
HUST,HUST/HUST_8-1,raw_pooled,1303,0.025454051624881832,0.038744541827004035,0.17434715821812596,0.008445694497720369
HUST,HUST/HUST_8-2,raw_pooled,2036,0.030336591252431582,0.04807690705923519,0.23636363636363636,0.006668051061519686
HUST,HUST/HUST_8-3,raw_pooled,2285,0.03785150987056805,0.04653945390040041,0.2587565674255692,0.006593228489011338
HUST,HUST/HUST_8-4,raw_pooled,1880,0.029746508498664108,0.0429369729322526,0.21128259712613093,0.006084360016959778
HUST,HUST/HUST_8-5,raw_pooled,1343,0.026468068668143777,0.03915608357855776,0.23770491803278687,0.010363033898540541
HUST,HUST/HUST_8-6,raw_pooled,2360,0.034655962577821074,0.052607842364681905,0.2607036880033913,0.006084360016959556
HUST,HUST/HUST_8-7,raw_pooled,2042,0.0331177281119398,0.04524418715122927,0.21999020088192062,0.008938555582122087
HUST,HUST/HUST_8-8,raw_pooled,1674,0.037011467138791734,0.04680918626003218,0.2857142857142857,0.006953773622480175
HUST,HUST/HUST_9-1,raw_pooled,2052,0.04089166970645723,0.05298687429985729,0.28473915163334956,0.006940314540445636
HUST,HUST/HUST_9-2,raw_pooled,2138,0.03743644956477751,0.04564108692797891,0.3205428170332241,0.008425303950551744
HUST,HUST/HUST_9-3,raw_pooled,1900,0.03946960379543155,0.04953625962269439,0.21642969984202212,0.006661914861210261
HUST,HUST/HUST_9-4,raw_pooled,1970,0.03956501581794412,0.05006002001962155,0.22905027932960895,0.00631286074438564
HUST,HUST/HUST_9-5,raw_pooled,2163,0.03809603997128008,0.047949218145125816,0.27474560592044406,0.006724026833638153
HUST,HUST/HUST_9-6,raw_pooled,1737,0.03670046138778669,0.04916355200601854,0.3485023041474654,0.005437705126687065
HUST,HUST/HUST_9-7,raw_pooled,2007,0.03781442945802735,0.04675336499923994,0.28614157527417744,0.005649193606736547
HUST,HUST/HUST_9-8,raw_pooled,2303,0.03900169797863478,0.04639517117214901,0.26629018245004343,0.007428978661710217
MATR,MATR/MATR_b1c0,raw_pooled,1843,0.04831723612125451,0.05393009257771421,0.46905537459283386,0.017017144284527164
MATR,MATR/MATR_b1c1,raw_pooled,2153,0.05654596466407622,0.061552237269291384,0.44191449814126393,0.010803136585154416
MATR,MATR/MATR_b1c11,raw_pooled,781,0.08065035469381383,0.08588145040286024,0.31153846153846154,0.0227706487547904
MATR,MATR/MATR_b1c14,raw_pooled,873,0.07952041253816426,0.0855107654660396,0.3761467889908257,0.02713049670582479
MATR,MATR/MATR_b1c15,raw_pooled,712,0.07604769509132003,0.08119577529517935,0.37412095639943743,0.02416432860335349
MATR,MATR/MATR_b1c16,raw_pooled,855,0.06599283502622826,0.07081259345271011,0.3770491803278688,0.020641752474984676
MATR,MATR/MATR_b1c17,raw_pooled,850,0.06631654066281494,0.07125647958347066,0.3945818610129564,0.021409875237205944
MATR,MATR/MATR_b1c18,raw_pooled,683,0.05261468424212503,0.05534557792610045,0.4560117302052786,0.035252598964197746
MATR,MATR/MATR_b1c19,raw_pooled,781,0.06537869622656951,0.06967023923291034,0.41025641025641024,0.02082336018666564
MATR,MATR/MATR_b1c2,raw_pooled,2229,0.0558473426760935,0.06099413454525171,0.44614003590664275,0.00957958213771748
MATR,MATR/MATR_b1c20,raw_pooled,526,0.03280842074970629,0.036777199899351486,0.44,0.02030891512834354
MATR,MATR/MATR_b1c21,raw_pooled,552,0.04492398223937239,0.047782614930367874,0.4355716878402904,0.022190733866594314
MATR,MATR/MATR_b1c23,raw_pooled,1007,0.08496983827717472,0.09027527632091618,0.36779324055666,0.01628853913574635
MATR,MATR/MATR_b1c24,raw_pooled,1010,0.09953280962852973,0.10433288413846792,0.41526263627353815,0.01709827784190543
MATR,MATR/MATR_b1c25,raw_pooled,847,0.0932447561030268,0.09871755952170583,0.31796690307328607,0.00883959224553199
MATR,MATR/MATR_b1c26,raw_pooled,863,0.07026637183620732,0.07599193344713613,0.4385150812064965,0.03660742691188157
MATR,MATR/MATR_b1c27,raw_pooled,835,0.07748316639130488,0.08219959713823363,0.37410071942446044,0.025380659250120452
MATR,MATR/MATR_b1c28,raw_pooled,853,0.09063692933851422,0.0962178075461459,0.4025821596244131,0.012705545614970726
MATR,MATR/MATR_b1c29,raw_pooled,910,0.09327788697894288,0.0984842721067073,0.41694169416941695,0.016159703439146966
MATR,MATR/MATR_b1c3,raw_pooled,1427,0.05754106873179329,0.06285197650007097,0.4074333800841515,0.021081057994747465
MATR,MATR/MATR_b1c30,raw_pooled,701,0.07146968309266395,0.07556597028960142,0.4114285714285714,0.03952607176387668
MATR,MATR/MATR_b1c31,raw_pooled,869,0.07465686278182844,0.07940628478475503,0.4573732718894009,0.028550711084779024
MATR,MATR/MATR_b1c32,raw_pooled,724,0.08011853346916327,0.08431346156169156,0.41770401106500693,0.013205166064605756
MATR,MATR/MATR_b1c33,raw_pooled,750,0.07888978066962771,0.08338128322649774,0.4098798397863818,0.011914145517473274
MATR,MATR/MATR_b1c34,raw_pooled,735,0.08800587645328356,0.09290947788085083,0.38419618528610355,0.006223933653252134
MATR,MATR/MATR_b1c35,raw_pooled,695,0.08508882175672991,0.090182068484297,0.39481268011527376,0.007557822555709359
MATR,MATR/MATR_b1c36,raw_pooled,697,0.08903247398983104,0.09454546403387984,0.3864942528735632,0.013832524401777513
MATR,MATR/MATR_b1c37,raw_pooled,640,0.08618853834591059,0.09097299726446412,0.38184663536776214,0.01677044988402665
MATR,MATR/MATR_b1c38,raw_pooled,610,0.0716819472341514,0.07530651682092497,0.39080459770114945,0.02229565644965259
MATR,MATR/MATR_b1c39,raw_pooled,618,0.07234204753568378,0.07643974759381535,0.2479740680713128,0.015274843771519886
MATR,MATR/MATR_b1c4,raw_pooled,1702,0.05955170824664895,0.06465911934571794,0.42680776014109345,0.019836439998108135
MATR,MATR/MATR_b1c40,raw_pooled,959,0.09306955243576674,0.09878244910515521,0.35803757828810023,0.006875845146751325
MATR,MATR/MATR_b1c41,raw_pooled,1044,0.09744096673637034,0.10252891910014804,0.3566634707574305,0.007107119502934078
MATR,MATR/MATR_b1c42,raw_pooled,695,0.07535722710425098,0.08060787584988545,0.3400576368876081,0.01153618891088981
MATR,MATR/MATR_b1c43,raw_pooled,644,0.07416807985543507,0.07854622999600679,0.3343701399688958,0.01375632065212784
MATR,MATR/MATR_b1c44,raw_pooled,608,0.06876164428964839,0.07429644821580265,0.4085667215815486,0.02996744862120848
MATR,MATR/MATR_b1c45,raw_pooled,592,0.06915371892173715,0.07450216279704835,0.33671742808798644,0.03134227187844074
MATR,MATR/MATR_b1c5,raw_pooled,1067,0.056520263659569116,0.06050924006967113,0.4090056285178236,0.02512933057379363
MATR,MATR/MATR_b1c6,raw_pooled,629,0.04382328614134985,0.046348238976720114,0.445859872611465,0.03050370797809865
MATR,MATR/MATR_b1c7,raw_pooled,863,0.0428438575859431,0.04740335026804574,0.4709976798143852,0.04089110258475326
MATR,MATR/MATR_b1c9,raw_pooled,1046,0.07319463746803127,0.078638750975921,0.3866028708133971,0.01809532563947369
MATR,MATR/MATR_b2c0,raw_pooled,320,0.032612829244415074,0.0387723217300474,0.43260188087774293,0.012004039323058713
MATR,MATR/MATR_b2c1,raw_pooled,164,0.047759853385837006,0.0633934073557723,0.3803680981595092,0.006301651086801696
MATR,MATR/MATR_b2c10,raw_pooled,590,0.0322415905451442,0.037318999190989306,0.4397283531409168,0.00832754589110729
MATR,MATR/MATR_b2c11,raw_pooled,499,0.03321730949899227,0.03883145895358484,0.3614457831325301,0.004217043218684324
MATR,MATR/MATR_b2c12,raw_pooled,484,0.028424402592278596,0.03775399957365041,0.33954451345755693,0.0053238340318906285
MATR,MATR/MATR_b2c13,raw_pooled,514,0.03458040788164037,0.04302353090541379,0.34502923976608185,0.005562971935598404
MATR,MATR/MATR_b2c14,raw_pooled,503,0.04011110528943875,0.04407021730375666,0.3565737051792829,0.007563331974712706
MATR,MATR/MATR_b2c17,raw_pooled,519,0.034983471242446426,0.04043416743950495,0.4768339768339768,0.030788385416660402
MATR,MATR/MATR_b2c18,raw_pooled,517,0.030563527348738365,0.03596896355610306,0.47093023255813954,0.006261526415192287
MATR,MATR/MATR_b2c19,raw_pooled,483,0.020807685182475468,0.02812252530839517,0.43568464730290457,0.007439100219124639
MATR,MATR/MATR_b2c2,raw_pooled,458,0.05004147024918287,0.0534551535164401,0.42669584245076586,0.02725961019434353
MATR,MATR/MATR_b2c20,raw_pooled,525,0.03981320017046537,0.04448414859986797,0.4541984732824427,0.021020107649096786
MATR,MATR/MATR_b2c21,raw_pooled,514,0.031872479426584624,0.03777684109113787,0.45614035087719296,0.010400334935692923
MATR,MATR/MATR_b2c22,raw_pooled,534,0.03826399177903716,0.04243734854587318,0.425891181988743,0.0049714787718777576
MATR,MATR/MATR_b2c23,raw_pooled,556,0.03325442423539444,0.038062782938779766,0.42342342342342343,0.01987669331773534
MATR,MATR/MATR_b2c24,raw_pooled,518,0.035411996278268486,0.039254411905466885,0.44680851063829785,0.01922919386516886
MATR,MATR/MATR_b2c25,raw_pooled,481,0.02719098440877083,0.03347472301598437,0.4583333333333333,0.026618152058117128
MATR,MATR/MATR_b2c26,raw_pooled,492,0.03074306538393511,0.03687931207037986,0.4256619144602851,0.023239194911223504
MATR,MATR/MATR_b2c27,raw_pooled,489,0.038353994513922,0.04210621301115079,0.4323770491803279,0.007184551869254818
MATR,MATR/MATR_b2c28,raw_pooled,535,0.03629785803738265,0.04154813546583374,0.47191011235955055,0.03464157673622703
MATR,MATR/MATR_b2c29,raw_pooled,516,0.04596545722842889,0.049555483751165544,0.42135922330097086,0.05241416061195914
MATR,MATR/MATR_b2c3,raw_pooled,355,0.025780641238106628,0.0362689468519169,0.4661016949152542,0.03802179522609839
MATR,MATR/MATR_b2c30,raw_pooled,501,0.04021463675560596,0.043186179991943734,0.384,0.028507293857525817
MATR,MATR/MATR_b2c31,raw_pooled,513,0.04238685063678187,0.045660355690782264,0.4453125,0.03272470565801233
MATR,MATR/MATR_b2c32,raw_pooled,538,0.040559366154584046,0.04470327023429912,0.46368715083798884,0.03665996717633957
MATR,MATR/MATR_b2c33,raw_pooled,540,0.048153088700197626,0.05164817172611111,0.4007421150278293,0.008124094220711475
MATR,MATR/MATR_b2c34,raw_pooled,520,0.04948587730734899,0.05219423996755292,0.42196531791907516,0.018230649708829483
MATR,MATR/MATR_b2c35,raw_pooled,480,0.044627766029871715,0.04745237519823171,0.36325678496868474,0.024961164669489166
MATR,MATR/MATR_b2c36,raw_pooled,554,0.04608580968937272,0.048902995417105556,0.3887884267631103,0.005588042161772444
MATR,MATR/MATR_b2c37,raw_pooled,496,0.04836817635513588,0.05159079990956415,0.3656565656565657,0.016333781352412813
MATR,MATR/MATR_b2c38,raw_pooled,481,0.0477669915611291,0.050183856818869596,0.36875,0.004487649979650787
MATR,MATR/MATR_b2c39,raw_pooled,474,0.05196397012245996,0.05464390439090189,0.41226215644820297,0.013880539880611442
MATR,MATR/MATR_b2c4,raw_pooled,465,0.030933995250978986,0.03879169617330026,0.3642241379310345,0.006506322864820557
MATR,MATR/MATR_b2c40,raw_pooled,524,0.03201206691221445,0.03691780079204136,0.4875717017208413,0.03658986811842979
MATR,MATR/MATR_b2c41,raw_pooled,446,0.03726312679352371,0.04026498713457419,0.44719101123595506,0.02221738527698891
MATR,MATR/MATR_b2c42,raw_pooled,486,0.04015991115576954,0.04242948053555097,0.422680412371134,0.010884840955705077
MATR,MATR/MATR_b2c43,raw_pooled,481,0.041811671797054084,0.043973584632793807,0.425,0.012077721534359376
MATR,MATR/MATR_b2c44,raw_pooled,472,0.044911422861402164,0.0474070163731638,0.416135881104034,0.011497552351653395
MATR,MATR/MATR_b2c45,raw_pooled,508,0.04112854350623533,0.0436800934532282,0.39644970414201186,0.007607852704790141
MATR,MATR/MATR_b2c46,raw_pooled,443,0.043203516551223856,0.04506966329937586,0.4638009049773756,0.010391810754556086
MATR,MATR/MATR_b2c47,raw_pooled,739,0.04037027441566668,0.04296541146632986,0.453929539295393,0.026780004092631038
MATR,MATR/MATR_b2c5,raw_pooled,501,0.04100632461899035,0.044554931508198115,0.386,0.01366791629244024
MATR,MATR/MATR_b2c6,raw_pooled,539,0.02135559239865059,0.029918370712051653,0.4646840148698885,0.012752675027774107
MATR,MATR/MATR_b3c0,raw_pooled,1002,0.03430753753723851,0.038369665146174084,0.4805194805194805,0.034748302243545304
MATR,MATR/MATR_b3c1,raw_pooled,1056,0.044245024768190366,0.0483246338033036,0.48056872037914694,0.037641783972674814
